회원번호,region_tier,treatment_h4,p_control_logit,p_treated_logit,uplift_logit,p_control_rf,p_treated_rf,uplift_rf
381879424,Tier1_새벽배송가능권(가정),0.0,0.9884597340476957,0.9909183830292652,0.0024586489815694446,0.9514165341098478,0.9360211857057452,-0.015395348404102616
382276608,Tier3_배송취약권(가정),0.0,0.19163647550308863,0.1649129373212761,-0.02672353818181253,0.24358966819745792,0.23722363795058296,-0.00636603024687496
382400960,Tier3_배송취약권(가정),1.0,0.12919937476118384,0.1234905599011425,-0.00570881486004135,0.15669842001902906,0.18105666734413103,0.024358247325101973
383108096,Tier3_배송취약권(가정),1.0,0.8515265944618446,0.8847226558006553,0.0331960613388107,0.8192941010146665,0.8153920973933266,-0.0039020036213398557
383115520,Tier1_새벽배송가능권(가정),,0.6062854043263635,0.6149613573204544,0.008675952994090963,0.6220999220367065,0.6785102276239651,0.05641030558725857
383163776,Tier1_새벽배송가능권(가정),1.0,0.04625983219053841,0.03326304204567143,-0.01299679014486698,0.06890353221864584,0.11272172956272154,0.0438181973440757
383314112,Tier2_익일배송표준권(가정),0.0,0.06288464968561183,0.06277069642756475,-0.00011395325804708367,0.08613827608840649,0.11319450546440868,0.02705622937600219
383356800,Tier2_익일배송표준권(가정),,0.9811587951706524,0.9881927192298559,0.007033924059203445,0.9544055000079327,0.9346721387027856,-0.019733361305147024
383483008,Tier1_새벽배송가능권(가정),0.0,0.059712190712631945,0.042973851285960665,-0.01673833942667128,0.07916268675308996,0.09657956249735852,0.017416875744268562
383921024,Tier3_배송취약권(가정),1.0,0.04166518932742479,0.03092651072749551,-0.010738678599929278,0.06605908700532641,0.07619030078000114,0.010131213774674727
384370176,Tier3_배송취약권(가정),,0.9112430505056411,0.9158914445337885,0.004648394028147318,0.8595633224164801,0.9002904442646353,0.04072712184815519
384585472,Tier1_새벽배송가능권(가정),0.0,0.8104909697897179,0.8257769049171265,0.015285935127408612,0.8231169656852312,0.867872614688931,0.04475564900369977
384696832,Tier1_새벽배송가능권(가정),,0.9248344456418478,0.943897483348723,0.01906303770687523,0.8857487585985377,0.8785944982233574,-0.007154260375180299
384804480,Tier3_배송취약권(가정),0.0,0.6048942971958106,0.5472467296441381,-0.05764756755167244,0.5494050416886777,0.5233995073108663,-0.02600553437781139
384858304,Tier3_배송취약권(가정),0.0,0.6602544285756342,0.6762184913652072,0.015964062789572964,0.5757416496180083,0.7123641396599497,0.13662249004194138
384906560,Tier2_익일배송표준권(가정),0.0,0.044623939855682006,0.041298069902288646,-0.0033258699533933594,0.05913560398297198,0.09666894444186803,0.03753334045889605
385079168,Tier2_익일배송표준권(가정),1.0,0.3965985602916158,0.46936037156902016,0.07276181127740439,0.390489872971199,0.41895584633147076,0.028465973360271735
385257344,Tier2_익일배송표준권(가정),0.0,0.6901172451751341,0.7531531452067055,0.06303590003157145,0.7431581204099804,0.7600828344455495,0.016924714035569055
385409536,Tier2_익일배송표준권(가정),1.0,0.18631684958257608,0.17783926566081631,-0.008477583921759763,0.20826196001918787,0.21912659642604157,0.0108646364068537
385539456,Tier3_배송취약권(가정),0.0,0.2881685876993054,0.20976468057032996,-0.07840390712897546,0.24531122444358094,0.27115897968543834,0.025847755241857395
385635968,Tier2_익일배송표준권(가정),0.0,0.07614457639820535,0.07155393032904575,-0.0045906460691595985,0.08675843933531864,0.13958470304343112,0.052826263708112484
385732480,Tier1_새벽배송가능권(가정),,0.10041373905776246,0.0899643804393748,-0.010449358618387666,0.13707954057405566,0.16416995424329023,0.027090413669234564
385838272,Tier2_익일배송표준권(가정),,0.4872881836346517,0.5554260302699923,0.06813784663534056,0.5098398627784523,0.4417345995604343,-0.06810526321801796
386022016,Tier3_배송취약권(가정),,0.2896471261631909,0.23463458739385368,-0.055012538769337205,0.3234914985757066,0.3250544845605784,0.001562985984871812
386027584,Tier3_배송취약권(가정),0.0,0.7774734838645923,0.7898943310973293,0.012420847232737064,0.7823756957467974,0.822558075705604,0.04018237995880658
