회원번호,가격구간,treatment_h4,uplift_revenue_enet,uplift_revenue_rf
1297112000,Q1_저가,0.0,3634.616251732841,-1710.0099877590983
1297292032,Q1_저가,1.0,7576.110373226671,2200.039103783094
1297342144,Q2,1.0,5317.002715430601,968.6342175444879
1297408960,Q1_저가,,-3504.096021513509,-737.8191826280649
1297414528,Q4_고가,0.0,-1272.8102889410802,-5222.351600859834
1297440512,Q1_저가,0.0,-2735.902961826472,2690.7038541989514
1297850688,Q4_고가,,-582.8419805064623,10198.919813401822
1298071552,Q2,0.0,-2703.280938837208,296.30852760775906
1298246016,Q1_저가,0.0,2629.8967545136147,-770.9407389990649
1298249728,Q1_저가,0.0,-3938.3041764847076,-3274.3157968390333
1298260864,Q3,0.0,-22166.42507901945,-2062.79531227237
1298288704,Q3,1.0,1652.4210791292426,-27009.975407667094
1298327680,Q1_저가,1.0,8557.632645244634,3766.4936095937555
1298333248,Q3,0.0,4285.144139529046,-10649.0223336442
1298353664,Q4_고가,0.0,3508.872650233039,-21750.68419667364
1298507712,Q1_저가,1.0,-3523.668025388277,4165.30777495508
1298873344,Q2,0.0,-1590.5016920159942,1521.6388910796923
1298997696,Q2,1.0,8196.085896556207,-4814.930632242165
1299380032,Q1_저가,1.0,-2456.459490130361,2784.6219075083773
1299417152,Q1_저가,0.0,3128.2920038417687,3177.0866064312113
1299543360,Q3,0.0,8429.921077454099,4997.45429342565
1300495488,Q2,1.0,-1782.5653684978824,4328.453918744719
1300677376,Q2,0.0,-3267.6785482204796,-833.3483533683216
1300894528,Q3,1.0,6420.563462840153,5774.71998226735
1300900096,Q2,0.0,8880.482806635388,1012.336718305778
1301007744,Q1_저가,1.0,-4233.126158466086,-244.85332405194595
1301011456,Q3,0.0,-1480.2687134107546,9983.041232402767
1301325120,Q2,0.0,7022.702925665799,10700.550862512464
1301345536,Q3,0.0,-214.43199613070465,23417.616901353496
1301707456,Q2,,3897.1462404118174,2337.1015742115364
1301792832,Q1_저가,0.0,-3758.8848730323552,-133.20317329578302
1302011840,Q1_저가,1.0,6429.475748374807,-544.5768044969125
1302022976,Q1_저가,,7233.2901284908585,4345.0687396370195
1302078656,Q2,1.0,-2182.4992336012183,6407.201430591829
1302097216,Q1_저가,0.0,-2409.1899775550955,1135.7252255529124
1302190016,Q1_저가,0.0,9730.407310879677,811.7099711987103
1302201152,Q4_고가,,-19797.056040478637,-12309.273402587234
1302243840,Q4_고가,0.0,-202.62585782468523,2736.2697012709596
1302490688,Q2,1.0,4527.477763001691,141.64937699851362
1302772800,Q4_고가,0.0,792.3181685857562,6322.370032901988
1302897152,Q3,1.0,14391.166129083842,673.7567075802181
1303587584,Q1_저가,0.0,3509.347929545562,1546.9943499280635
1303995904,Q4_고가,,-3372.2988883062644,-8808.819286166581
1304274304,Q2,,-2350.849252965847,-587.8932599073123
1304626944,Q4_고가,0.0,-895.149755721548,16594.47994222192
1304645504,Q3,1.0,6480.105468364254,565.204861054568
1304673344,Q4_고가,1.0,1730.6061270366117,-1070.5191135636146
1304734592,Q1_저가,1.0,-2086.2792397308112,2796.7235732924564
1304786560,Q1_저가,0.0,-3517.0758975927747,3899.5251141957924
1304886784,Q1_저가,1.0,-2055.211072991093,14215.114430477362
1304899776,Q3,0.0,1588.3779629861128,-730.5681173434571
1305178176,Q2,0.0,-5377.470545169697,-1842.492895892774
1305417600,Q3,,10001.188345456132,6022.815006392993
1305432448,Q2,,1804.6845571875492,-865.2381246824093
1305439872,Q3,0.0,-2225.566081174762,-5112.245585371951
1305530816,Q2,1.0,-2379.9032821599976,1020.4770064515469
1305547520,Q4_고가,0.0,5190.391745916873,6645.6349963706525
1305753536,Q2,0.0,-795.3966543374991,11735.928712999055
1305879744,Q2,0.0,-5229.776238425831,-3419.5487520241877
1306206400,Q3,0.0,11980.398093963271,8275.613859821715
1306217536,Q2,0.0,3722.8188700451756,-699.6905083814522
1306507072,Q1_저가,0.0,6269.272996511976,-510.49438315533826
1306941376,Q3,1.0,8698.622119447875,2324.020219776239
1307362688,Q2,0.0,1554.4308255664291,-5871.31810185705
1307513024,Q4_고가,,-18198.46124318777,-5301.246130938014
1307678208,Q1_저가,1.0,3001.2102059436875,-1741.840984592549
1307732032,Q2,1.0,3469.537214932974,-2261.9656919129266
1307772864,Q1_저가,1.0,1685.531717588663,2448.702440623798
1308064256,Q2,1.0,7841.813356045353,1011.7975056933628
1308181184,Q1_저가,1.0,4562.453855525619,1591.3690162530665
1308340800,Q4_고가,1.0,-5085.63880795673,-7127.004106073478
1308606208,Q2,0.0,458.1487376502191,2484.8437315910924
1308656320,Q2,0.0,-647.1740620585915,2508.6798347240256
1308671168,Q4_고가,0.0,-3800.796790940254,-1238.6773280880193
1308801088,Q2,0.0,-8983.39493334126,9158.83865991961
1308919872,Q3,1.0,7083.351359928682,-12708.132908439366
1308979264,Q4_고가,1.0,-2816.693199020083,47112.66188430344
1309667840,Q4_고가,,2518.221753435784,-949.4005143507343
1309962944,Q4_고가,1.0,1054.0979446255515,42654.19452778099
1310454784,Q4_고가,0.0,-21313.597803999946,13693.787936568711
1310480768,Q2,0.0,2209.5172123811026,491.80614884078386
1310512320,Q1_저가,0.0,842.9525703061627,-736.8583176574905
1310517888,Q1_저가,0.0,-195.86285367565506,476.3171612719525
1310636672,Q4_고가,0.0,-8005.376535557996,3763.234268666628
1310733184,Q2,0.0,13531.807046630394,3824.9940255071997
1310755456,Q1_저가,1.0,-2414.6986165616618,2079.491730188922
1310757312,Q3,0.0,6393.3760670053925,263.54039344079547
1310764736,Q2,0.0,2208.380746901268,-4705.726757200959
1310920640,Q4_고가,0.0,-338.2181164610083,11842.010333359682
1311243584,Q4_고가,,-8648.002492729342,-1172.3545483706353
1311251008,Q1_저가,,4535.805733736397,886.5037425860883
1311477440,Q2,0.0,-4882.791320955017,16309.989245175282
1311531264,Q3,0.0,10424.920281555365,7203.618995326884
1311624064,Q4_고가,0.0,-6254.5032286013775,-1070.0468191564385
1311831936,Q2,0.0,5204.210045016003,2001.9924607660778
1311896896,Q3,1.0,6231.166262356346,-8326.375850663302
1311980416,Q3,0.0,2944.0077280120604,7454.922200238361
1312114048,Q2,0.0,-5190.263174271971,218.4444163531548
1312128896,Q4_고가,0.0,-5493.00156897452,-5471.744219923962
1312681984,Q2,0.0,2613.177819207551,-2853.225657528761
1312739520,Q1_저가,0.0,3939.4070622387007,6206.418638673316
1312810048,Q4_고가,0.0,-686.0717851250665,241.2339216227083
1312975232,Q1_저가,0.0,3629.532681769095,1647.016052205804
1313296320,Q2,0.0,-5588.103084797047,3665.0875691658694
1313572864,Q1_저가,0.0,2222.7734343652482,-8235.315744965868
1313678656,Q4_고가,0.0,-3906.4552745724686,2897.3122731201247
1313901376,Q1_저가,0.0,1974.3918231601237,2953.358324526402
1313988608,Q3,0.0,961.6589214388441,-5548.913265604369
1314183488,Q2,0.0,5953.783630987389,-6536.256006118823
1314239168,Q3,,10165.132959239487,9445.126185890076
1314422912,Q1_저가,,944.9780235906692,-137.00130098465888
1314439616,Q2,0.0,6774.868041574864,2945.2014703603663
1314450752,Q3,,5199.722435747055,-11619.174997491005
1314552832,Q3,0.0,6074.740975941604,-21428.63636926131
1314725440,Q1_저가,,121.92669132307128,-543.7285511572998
1314786688,Q1_저가,0.0,8460.615789108335,-2889.4522108374367
1314807104,Q1_저가,0.0,394.63281774275674,-487.16805728793406
1314968576,Q4_고가,1.0,957.3796034082643,-1180.3486720297592
1315122624,Q2,0.0,913.8907115056099,1832.697923768923
1315191296,Q1_저가,0.0,5048.6875046328205,-8030.1601562037795
1315289664,Q4_고가,0.0,-1570.5770089804864,-997.895834873998
1315295232,Q1_저가,,-3383.131614416092,-522.1485109641972
1315378752,Q1_저가,0.0,-6377.0062677768365,-653.5443063161488
1315512384,Q1_저가,1.0,-4480.100372203469,-552.5115779067005
1316316032,Q2,0.0,1287.6688345565017,57.41188852222058
1316338304,Q1_저가,,2376.0785986341543,3605.6208504082983
1316592576,Q1_저가,1.0,3007.3072820052657,2490.242250621316
1316681664,Q1_저가,0.0,-9039.780004727803,280.6128026557162
1316804160,Q3,,-2847.287503086074,9741.011239832122
1316906240,Q4_고가,,-18786.66877102859,-3429.631613616766
1316921088,Q4_고가,1.0,-20224.843520350958,-6278.001472944736
1316934080,Q4_고가,0.0,-2407.7008153874194,-15303.540695867116
1316993472,Q4_고가,0.0,1604.0931323363984,-1239.306388666926
1317049152,Q1_저가,0.0,-658.2127268249787,-777.0397620968906
1317199488,Q1_저가,0.0,-3399.0583343088474,-56.60957439540107
1317218048,Q1_저가,,-2963.0142051295697,-1063.1966943209482
1317390656,Q2,0.0,1514.581187675747,1019.074774588752
1317451904,Q2,1.0,6352.845388673566,-934.7681672321924
1317613376,Q3,1.0,7535.446372154154,1453.0048909152247
1317650496,Q2,,3220.335930690162,5556.543348915584
1317765568,Q4_고가,,-12361.427519205288,-5421.6359774331195
1318322368,Q4_고가,0.0,-646.8036079090198,-532.8930379407452
1318760384,Q2,,-4545.568206508393,-5590.568990581323
1318905152,Q3,0.0,-865.0409638739366,-9140.460922981096
1319072192,Q2,0.0,-3079.0596318676,-4058.653051170131
1319267072,Q2,0.0,-2964.2080985650173,-3041.2721442392212
1320735168,Q1_저가,0.0,6921.032210371221,592.807314561076
1320742592,Q1_저가,0.0,593.8810079428586,2437.8092384945976
1320827968,Q1_저가,1.0,-4994.083719184833,4213.387464098012
1320894784,Q1_저가,0.0,-3102.465294478745,-2899.1835005767934
1320922624,Q1_저가,1.0,4943.004829027257,-2885.648684840089
1321195456,Q3,0.0,8290.109972006732,-7.746310525604258
1321202880,Q2,0.0,6980.348944963045,-3947.472659267911
1321234432,Q2,0.0,899.473987767833,1660.1066174680936
1321343936,Q3,0.0,8372.865510531188,-1013.3966734904338
1321514688,Q4_고가,0.0,-2148.5442398235828,-878.3502120339983
1321535104,Q1_저가,0.0,1787.8061045663198,5437.6975296138735
1321601920,Q2,0.0,2081.6079433463274,-73.52229732741944
1321609344,Q4_고가,0.0,-5685.085344573716,-1745.8639108131647
1321668736,Q4_고가,0.0,2183.055269099823,-9223.189548838624
1321934144,Q1_저가,0.0,240.21979142500277,196.73705148033014
1322034368,Q4_고가,0.0,-7602.887605260781,8062.495533913934
1322453824,Q4_고가,0.0,-4219.103310009214,-5345.5086217889
1322841728,Q4_고가,0.0,-168.59198398684384,-1149.5923478113702
1322943808,Q4_고가,1.0,849.771503049371,-36902.35899670483
1323198080,Q3,,2318.2778441480114,1021.1631083127977
1323272320,Q2,0.0,2764.350637177271,649.9075618756715
1323322432,Q2,0.0,9297.45345903626,12190.324074900254
1323476480,Q3,0.0,6980.629407348915,2787.9105807944184
1323482048,Q4_고가,0.0,2268.9236319585907,-2790.307211842337
1323656512,Q3,0.0,3038.1770889557083,-8431.398911628683
1323966464,Q3,,3367.193529276232,-980.2751171194345
1324126080,Q3,,4786.441559292183,-144.76902388589588
1324272704,Q3,,7729.360335623078,-102.58903007146682
1324306112,Q1_저가,0.0,-3177.2965630930375,-544.6894161278747
1324491712,Q3,0.0,4838.6150783026205,866.346861676182
1324551104,Q3,,-1158.1131964993601,3582.145852041526
1324781248,Q1_저가,0.0,3835.840803216088,1555.3016779643076
1325081920,Q2,0.0,4757.656305204437,5723.019118639226
1325130176,Q4_고가,0.0,517.3531576756359,89292.77992046857
1325362176,Q3,0.0,6683.089116459072,-25775.685252924508
1325672128,Q3,0.0,3784.160781251863,-4292.567926097312
1325867008,Q1_저가,0.0,166.77895266971973,2207.9783418445304
1325956096,Q2,0.0,3005.9850177039043,7804.849745581043
1326008064,Q3,0.0,-4742.1798822942255,-987.6165911730277
1326195520,Q2,0.0,5184.472591259386,-3516.94805710356
1326280896,Q3,0.0,6794.607721403041,-786.1844856486687
1326609408,Q4_고가,0.0,-6401.116564346521,-7603.555864563215
1326620544,Q2,0.0,-1185.7725937228097,376.4350175660811
1326915648,Q4_고가,1.0,-6781.307678431724,-1227.3335898753503
1327054848,Q4_고가,0.0,-9073.219036021139,61859.26489396041
1327181056,Q3,,-16170.772266168162,50951.3868739334
1327205184,Q4_고가,0.0,-6342.1025942508495,-2752.8521943968135
1327548544,Q3,0.0,8721.877235182379,2752.830179755573
1327997696,Q4_고가,,-3652.1614547973622,-1431.9879640807785
1328055232,Q3,1.0,-2152.6294037487824,-15370.020915203299
1328109056,Q1_저가,0.0,1961.290190274125,-661.5519484476197
1328181440,Q3,0.0,-2897.3940275885216,-977.3781196309519
1328363328,Q3,0.0,2226.672859082202,14053.729289819807
1328459840,Q3,0.0,7924.037117801767,1841.6106909548398
1328463552,Q2,,6310.199939932689,4057.8239630485477
1328710400,Q1_저가,0.0,-6989.316995535002,3130.3073297584865
1328712256,Q1_저가,,-2352.35538744913,-628.5768080537
1328792064,Q1_저가,,-5040.092592069803,-166.41716545495228
1328793920,Q3,0.0,-28.009538594065816,1861.5569063593566
1328806912,Q1_저가,,-4158.676452502277,-473.03357243751975
1329153984,Q4_고가,0.0,-1027.024107061854,-211.22858196209745
1329309888,Q4_고가,0.0,-9505.487138165892,-1489.7315264734805
1330007744,Q2,0.0,1260.3901387176302,-6072.9128959546015
1330204480,Q2,0.0,4471.759037117059,3347.9452875978805
1330300992,Q3,0.0,-2526.0503384456206,-459.60829531644004
1331329216,Q1_저가,0.0,-2821.5093423993712,-715.2782774643883
1331420160,Q2,0.0,3529.8097274998654,7849.514141110005
1331431296,Q3,1.0,2664.8702829812974,32200.384322446072
1331796928,Q3,0.0,10301.610861715984,36182.70540236102
1332233088,Q3,0.0,6640.396062527841,-16954.55405827699
1332325888,Q4_고가,0.0,-2197.1519592445547,-22907.23227000519
1332461376,Q3,0.0,12162.81069194648,1909.040143146076
1332815872,Q3,,10560.86222182375,640.6663692715229
1332923520,Q1_저가,0.0,3435.0144585288945,-8250.78352233519
1332936512,Q1_저가,0.0,7734.879393944091,1294.674605814601
1333537856,Q3,0.0,8747.938347193016,749.4540693065219
1333556416,Q2,1.0,11445.645088402041,-5336.695953577719
1333638080,Q4_고가,0.0,-1203.3006728142063,-1146.9475201138846
1333645504,Q1_저가,0.0,1868.4948815504285,352.6535709091586
1333719744,Q4_고가,1.0,-8766.014351976708,-1218.401040472244
1333795840,Q3,0.0,-144.6697076366545,-17705.313170551257
1333988864,Q3,0.0,5243.05879796877,3364.04792615278
1334356352,Q2,0.0,119.24631394040625,10072.73592713079
1334443584,Q2,0.0,-1048.5962863724017,1905.7335800572973
1334514112,Q2,0.0,-1130.7115195130718,1052.5907274529463
