회원번호,frequency,monetary,가격구간,region_tier,age_gender_segment,treatment_h4,future_is_vip,vip_conversion_score_logit,vip_conversion_score_rf
436215680,12,565537,Q4_고가,Tier1_새벽배송가능권(가정),60+_F,0.0,0,0.7626873267727675,0.8212251778097759
1381762304,22,648951,Q2,Tier3_배송취약권(가정),30s_F,0.0,0,0.8483534178483295,0.8202709924083246
741837632,20,740786,Q3,Tier3_배송취약권(가정),30s_F,,0,0.8868139972813421,0.8200875173206056
97096640,18,641516,Q3,Tier3_배송취약권(가정),50s_F,0.0,0,0.8300602981285866,0.8197060044407293
1605495680,8,626700,Q4_고가,Tier1_새벽배송가능권(가정),40s_F,0.0,0,0.833570046232834,0.8193304199171384
125025728,22,609724,Q2,Tier3_배송취약권(가정),40s_F,,0,0.7744417088917387,0.8192714492264362
101760768,23,726864,Q3,Tier2_익일배송표준권(가정),50s_F,,0,0.7807988323186746,0.8183380121407282
1244054528,13,656454,Q4_고가,Tier3_배송취약권(가정),60+_F,0.0,0,0.8364158743569601,0.8183113720076832
1601037568,12,635873,Q4_고가,Tier1_새벽배송가능권(가정),50s_F,1.0,1,0.774300086384903,0.8182669775606793
660416768,12,589832,Q4_고가,Tier1_새벽배송가능권(가정),50s_F,0.0,0,0.7371193769034396,0.8181092009845571
202107264,8,734657,Q4_고가,Tier3_배송취약권(가정),30s_F,0.0,0,0.9094466309658379,0.817710843662247
473775552,13,420504,Q3,Tier3_배송취약권(가정),40s_F,0.0,1,0.8789421695574178,0.8173122004116068
1145337600,13,697132,Q4_고가,Tier3_배송취약권(가정),30s_F,0.0,0,0.7888432591975093,0.816687866353044
1005029568,6,543115,Q4_고가,Tier3_배송취약권(가정),40s_F,1.0,0,0.8178659057542897,0.8165180505333741
247926336,9,499941,Q4_고가,Tier3_배송취약권(가정),50s_M,,0,0.8306265497540094,0.8162806551843018
1253111808,25,701150,Q2,Tier1_새벽배송가능권(가정),30s_F,1.0,0,0.8043252699548462,0.8162087087062124
733530176,7,502893,Q4_고가,Tier3_배송취약권(가정),40s_F,0.0,0,0.8547428794402051,0.8160464739116604
586304832,18,476306,Q2,Tier2_익일배송표준권(가정),40s_F,0.0,0,0.7884485492616367,0.8159576130083748
747478016,12,655594,Q4_고가,Tier1_새벽배송가능권(가정),30s_F,0.0,0,0.7081551646825918,0.8158547288936705
824340544,9,452068,Q4_고가,Tier1_새벽배송가능권(가정),30s_F,0.0,0,0.7056984579313313,0.8152029819491912
86990720,25,724413,Q2,Tier2_익일배송표준권(가정),40s_F,,0,0.8194383854023392,0.8149457992281326
780306944,20,636925,Q3,Tier2_익일배송표준권(가정),50s_M,0.0,1,0.8125391837279133,0.8149216487348191
233219392,22,577460,Q2,Tier2_익일배송표준권(가정),30s_F,1.0,1,0.8556332675208862,0.814209105887448
1096153600,9,578536,Q4_고가,Tier3_배송취약권(가정),60+_F,1.0,0,0.8390931063486464,0.8140605963273512
469688640,23,574418,Q2,Tier2_익일배송표준권(가정),40s_F,,0,0.8087881861678824,0.8134787777586909
451867328,8,618736,Q4_고가,Tier1_새벽배송가능권(가정),30s_F,0.0,0,0.745033965330617,0.8128645325637084
746728192,19,571206,Q3,Tier2_익일배송표준권(가정),30s_F,0.0,0,0.7460989383063888,0.8127343522039229
445122624,16,613095,Q3,Tier1_새벽배송가능권(가정),50s_F,1.0,0,0.9213625495779547,0.8125142695747093
943330560,7,570688,Q4_고가,Tier3_배송취약권(가정),60+_F,,0,0.9012377898840951,0.811890180050484
751641024,13,712734,Q4_고가,Tier1_새벽배송가능권(가정),50s_F,0.0,1,0.7518918058046434,0.8115289105852955
940375808,13,521776,Q3,Tier2_익일배송표준권(가정),40s_F,0.0,1,0.6103084136957506,0.8112259623239741
683262272,14,675599,Q4_고가,Tier3_배송취약권(가정),30s_F,0.0,0,0.7296761624450612,0.8107322954127915
448552512,8,467024,Q4_고가,Tier2_익일배송표준권(가정),30s_F,0.0,0,0.8088653851653667,0.8098891897600329
673770688,21,683545,Q3,Tier3_배송취약권(가정),50s_F,0.0,0,0.8040010548869119,0.8097861679682953
606034112,20,565422,Q2,Tier3_배송취약권(가정),50s_F,0.0,0,0.826050580715461,0.8096821582928316
473957440,8,653480,Q4_고가,Tier1_새벽배송가능권(가정),40s_F,,0,0.8397331884082121,0.809012724375425
386027584,27,525794,Q2,Tier3_배송취약권(가정),50s_F,0.0,1,0.6867645008407401,0.8088229948965993
745768640,13,480538,Q3,Tier1_새벽배송가능권(가정),40s_F,0.0,0,0.8723977126105877,0.8087138492517796
744747840,10,596244,Q4_고가,Tier1_새벽배송가능권(가정),40s_F,0.0,0,0.624744377926333,0.8081979613527652
850524992,9,535679,Q4_고가,Tier2_익일배송표준권(가정),40s_F,0.0,1,0.7924940296448062,0.8080899512131096
154096256,16,507416,Q3,Tier2_익일배송표준권(가정),50s_F,0.0,0,0.7638332449971867,0.8077216513858186
136933824,13,504065,Q3,Tier1_새벽배송가능권(가정),60+_F,,0,0.8474086976851423,0.8065641203982962
1499508800,14,669185,Q4_고가,Tier2_익일배송표준권(가정),40s_F,0.0,0,0.886063542164036,0.8054529618647125
632367040,7,351006,Q4_고가,Tier3_배송취약권(가정),30s_F,0.0,1,0.7256630434896575,0.8054233572013433
950787968,14,597012,Q3,Tier1_새벽배송가능권(가정),50s_F,0.0,0,0.770813489604764,0.8052152660369286
877032384,9,597775,Q4_고가,Tier1_새벽배송가능권(가정),50s_F,,0,0.7343698663204429,0.80520410127109
858722944,7,326695,Q4_고가,Tier2_익일배송표준권(가정),30s_F,1.0,1,0.7157508906556229,0.8046780201210278
777814336,15,698762,Q3,Tier3_배송취약권(가정),60+_F,1.0,1,0.712956818234881,0.8045665413243539
983024832,9,455059,Q4_고가,Tier3_배송취약권(가정),50s_F,0.0,0,0.8006196586705543,0.8044340244974937
1260166464,33,623813,Q2,Tier2_익일배송표준권(가정),50s_F,0.0,1,0.706215395487763,0.8032366473700325
44076288,10,510765,Q4_고가,Tier3_배송취약권(가정),50s_F,0.0,1,0.8389330646683911,0.8026517534463635
761847168,14,737069,Q4_고가,Tier1_새벽배송가능권(가정),30s_F,0.0,1,0.7802393639646891,0.8020320114926405
1249423936,11,737617,Q4_고가,Tier2_익일배송표준권(가정),30s_F,1.0,0,0.7501933051852674,0.8019741065997806
1008511424,15,670448,Q3,Tier3_배송취약권(가정),30s_F,0.0,0,0.8133316613111259,0.8010161054769712
74169472,10,623602,Q4_고가,Tier3_배송취약권(가정),60+_F,0.0,0,0.6919070566372719,0.80027588931904
143429824,16,720395,Q3,Tier3_배송취약권(가정),50s_F,1.0,0,0.7444636740767274,0.8000925409570564
969568832,16,695847,Q3,Tier2_익일배송표준권(가정),50s_F,0.0,0,0.7926263731764716,0.7997057668675392
776698880,24,645256,Q2,Tier3_배송취약권(가정),40s_F,,0,0.8121746226895454,0.7995762872432628
1213439808,16,668609,Q3,Tier3_배송취약권(가정),40s_F,0.0,0,0.9036421231528368,0.7985515572350799
398986176,14,643245,Q3,Tier3_배송취약권(가정),50s_F,0.0,0,0.7808842217114454,0.7983659434015319
164979840,9,549826,Q4_고가,Tier3_배송취약권(가정),50s_F,0.0,0,0.6779309713806199,0.7981611309217821
