회원번호,age_gender_segment,treatment_h4,p_control,p_treated,uplift
63967040,60+_F,0.0,0.7529372623035002,0.7485651741112993,-0.004372088192200918
64004160,50s_F,0.0,0.09698121791502895,0.1344174817493426,0.03743626383431364
64295552,40s_F,1.0,0.23154891238908276,0.2749705480229426,0.04342163563385981
64306688,60+_F,,0.8710853242177014,0.8833774562024885,0.01229213198478718
64330816,50s_F,0.0,0.131489315047642,0.15177789039060327,0.020288575342961274
64460736,60+_F,0.0,0.5542198782264773,0.5229841308612698,-0.03123574736520751
64483008,50s_F,0.0,0.1317550960548728,0.15617772117079323,0.024422625115920443
64586944,50s_F,0.0,0.42272908881105686,0.36611535099955234,-0.05661373781150453
64679744,60+_F,0.0,0.7601252287174001,0.7579633780687227,-0.0021618506486773548
64859776,50s_F,0.0,0.07757967706163245,0.118514232075753,0.04093455501412055
64861632,50s_F,0.0,0.6484270629195251,0.7635025125284146,0.11507544960888949
64921024,60+_F,0.0,0.8674001285990637,0.8956253296336114,0.02822520103454773
64972992,50s_F,0.0,0.06160377838792252,0.08371464727239017,0.02211086888446765
65036096,50s_F,0.0,0.07892026799923818,0.08628355028166343,0.007363282282425249
65130752,60+_F,,0.10355883830957602,0.104689704805567,0.0011308664959909787
65290368,50s_F,0.0,0.06959489613757386,0.11140987611141721,0.041814979973843355
65511232,60+_F,0.0,0.8228303880497932,0.8574764180008052,0.03464602995101196
65514944,40s_F,0.0,0.827942354145125,0.8543965043496502,0.02645415020452524
65527936,40s_F,0.0,0.14101530878027022,0.15242073349374785,0.011405424713477635
65548352,40s_F,0.0,0.5544410722358598,0.491959752381407,-0.06248131985445282
65639296,50s_M,0.0,0.2286972131308589,0.24433041601788894,0.015633202887030045
65650432,30s_F,0.0,0.08709966629750054,0.0947651379910067,0.007665471693506162
65873152,50s_F,0.0,0.17324836735528545,0.20521400102070778,0.03196563366542232
65888000,30s_F,0.0,0.7362816659719794,0.7623546402375136,0.026072974265534232
65900992,40s_F,0.0,0.10614198853796493,0.12736728607136488,0.021225297533399953
66053184,40s_F,0.0,0.17053353214247383,0.19194945220021403,0.021415920057740206
66201664,50s_F,1.0,0.8785855218982119,0.8899473324039393,0.011361810505727377
66205376,40s_F,0.0,0.49642779288253214,0.6234455520003945,0.1270177591178624
66285184,50s_F,0.0,0.5000108393338117,0.3366482277816406,-0.16336261155217113
66472640,40s_F,0.0,0.6479843084490815,0.7556676625158487,0.10768335406676721
