antecedents,consequents,support,confidence,lift
뿌리채소,과일,0.012392340619911736,0.1170575544575127,1.1856794633555032
빵,과일,0.01347538109026074,0.11640043276268058,1.1790234580929757
과일,빵,0.01347538109026074,0.13649253731343283,1.1790234580929757
육가공,과자,0.0179548954166022,0.169589422407794,1.1668374671256385
과자,육가공,0.0179548954166022,0.12353627008668322,1.1668374671256385
두부/유부,어묵/묵,0.018640084285598508,0.07117537838294041,1.1660305289726156
어묵/묵,두부/유부,0.018640084285598508,0.30537115268557635,1.1660305289726156
양념채소,냉동수산,0.011677681261926339,0.08006263575289185,1.1562908584916214
냉동수산,양념채소,0.011677681261926339,0.1686529048733773,1.1562908584916214
잎/줄기채소,소,0.014322657648697036,0.06673761543479008,1.1547972724819764
소,잎/줄기채소,0.014322657648697036,0.24783273839877612,1.1547972724819762
유제품,밀가공,0.017755969615925852,0.1395564305981817,1.1543576554732529
밀가공,유제품,0.017755969615925852,0.14687061978182703,1.1543576554732526
두부/유부,"알, 양념채소",0.01082303708124277,0.04132673155910651,1.150612502109942
떡,음료,0.013696409757678904,0.159762805087659,1.147871778717001
음료,떡,0.013696409757678904,0.0984066486686782,1.147871778717001
콩나물,잎/줄기채소,0.026832880224565127,0.24601459065117537,1.1463254617217682
잎/줄기채소,콩나물,0.026832880224565127,0.1250300387929555,1.1463254617217682
빵,과일채소,0.010587273169330062,0.0914529370584866,1.1457278654247118
과일채소,빵,0.010587273169330062,0.13263799150821487,1.1457278654247118
밑반찬,유제품,0.011942915662828136,0.14560316177131052,1.1443958274398174
유제품,밑반찬,0.011942915662828136,0.09386762406624588,1.1443958274398174
콩나물,양념채소,0.018183291706267635,0.16671169954066467,1.1429818794238962
양념채소,콩나물,0.018183291706267635,0.12466535333636408,1.1429818794238962
잎/줄기채소,어묵/묵,0.014963640784209711,0.06972432970579148,1.142258726208494
