회원번호,y_repurchase_14d,label_observable_flag,ever_cancelled,avg_leadtime
1249795136,1,1,0,1.875
1249860096,0,1,0,3.1666666666666665
1250095808,0,1,0,3.0
1250268416,0,1,0,1.0
1250424320,0,1,0,3.6666666666666665
1250457728,1,1,0,2.25
1250520832,0,1,0,2.0
1250550528,1,1,1,2.467005076142132
1250678592,1,1,1,2.0681818181818183
1250821504,1,1,1,2.672316384180791
1250899456,0,1,1,2.75
1251055360,0,1,1,2.106382978723404
1251205696,1,1,1,2.5210084033613445
1251406144,0,1,0,3.0
1251413568,0,1,0,3.0
1251693824,1,1,1,1.9361702127659575
1251756928,0,1,0,2.5
1251872000,0,1,0,1.5
1251881280,0,1,0,3.1666666666666665
1251979648,0,1,0,1.0
1253111808,1,1,0,2.6551724137931036
1253195328,0,1,1,2.0
1253364224,0,1,1,4.0
1253423616,0,1,0,2.0
1253854208,0,1,0,4.0
1254049088,1,1,0,2.3157894736842106
1254282944,1,1,1,2.347826086956522
1254702400,0,1,0,2.0
1255277760,1,1,0,3.6666666666666665
1255455936,0,1,1,2.5
1255470784,0,1,0,3.0
1255474496,0,1,0,2.6842105263157894
1255745472,1,1,0,1.6
1255801152,1,1,1,1.5737704918032787
1256662336,0,1,0,3.0
1256808960,1,1,1,2.2777777777777777
1256981568,0,1,0,2.527027027027027
1257315648,0,1,0,1.6666666666666667
1257427008,0,1,0,4.0
1257527232,0,1,0,1.5238095238095237
1257723968,1,1,0,2.3333333333333335
1257813056,0,1,0,2.4210526315789473
1257850176,0,1,0,3.0
1257948544,0,1,1,2.4347826086956523
1258288192,0,1,0,2.2222222222222223
1258507200,1,1,1,2.1666666666666665
1258512768,1,1,1,1.7586206896551724
1258523904,0,1,1,2.3529411764705883
1258583296,0,1,0,3.6666666666666665
1258676096,0,1,0,1.8
1258828288,0,1,0,3.0
1258958208,0,1,0,1.0
1259004608,0,1,0,2.75
1259008320,1,1,1,2.4210526315789473
1259325696,0,1,1,2.6666666666666665
1259470464,0,1,0,3.260869565217391
1259526144,1,1,1,2.6
1259672768,1,1,1,2.6153846153846154
1259849088,1,1,1,2.3333333333333335
1259964160,1,1,1,2.3
1260166464,1,1,1,2.375
1260444864,1,1,0,1.5
1260559936,0,1,1,2.3679245283018866
1261202112,0,1,0,2.75
1261211392,1,1,0,2.25
1261322752,0,1,0,1.9285714285714286
