회원번호,preperiod_제철구매비율,treatment_h4,p_control_logit,p_treated_logit,uplift_logit,p_control_rf,p_treated_rf,uplift_rf
1225657856,0.0,0.0,0.2772574544481033,0.24327494131812732,-0.033982513129975966,0.27515642862896017,0.3010274724536414,0.02587104382468125
1225811904,0.0410958904109589,,0.7533220164487309,0.7917210389877336,0.038399022539002736,0.7484228154018091,0.7979391568976686,0.049516341495859484
1225873152,0.0,0.0,0.735479595807147,0.7709837514982565,0.03550415569110954,0.7092778708979017,0.686510108830045,-0.02276776206785669
1226079168,0.0252100840336134,1.0,0.8613711421245973,0.8900688186295319,0.0286976765049346,0.8485706944708485,0.8700359640310643,0.02146526956021577
1226149696,0.0,0.0,0.06130805312173781,0.04863909269236345,-0.012668960429374355,0.07880268078102046,0.09317666921780121,0.014373988436780755
1226168256,0.1131221719457013,0.0,0.8351673037932721,0.9154496669903269,0.08028236319705484,0.8128637214578001,0.823719406766658,0.010855685308857943
1226301888,0.0,0.0,0.16494534146828996,0.15508234610846172,-0.009862995359828236,0.18189544050855364,0.18714998505842806,0.005254544549874424
1226396544,0.0,0.0,0.2332046357712809,0.24943986009887292,0.01623522432759203,0.2340746596078344,0.2108410524232777,-0.02323360718455672
1226561728,0.0,0.0,0.042591272849547154,0.03216908563697775,-0.010422187212569406,0.0754368019682569,0.06978399637949367,-0.0056528055887632295
1226613696,0.0,0.0,0.07841071014080844,0.07091132890797879,-0.007499381232829658,0.1328484362081893,0.13196674590142077,-0.0008816903067685455
1226674944,0.0,0.0,0.050543080189184346,0.04149486757411499,-0.009048212615069356,0.08543394030030599,0.09137409537342636,0.005940155073120373
1226884672,0.2857142857142857,0.0,0.2605881834177907,0.1861477111861886,-0.0744404722316021,0.31118664476744934,0.2749459928332992,-0.03624065193415016
1226927360,0.0,0.0,0.041101177020092375,0.03465810974577349,-0.006443067274318884,0.07181139396960373,0.09979241102952724,0.027981017059923508
1227036864,0.0,0.0,0.4206146714071184,0.44113086812371344,0.020516196716595048,0.46341580828765644,0.3725890193432101,-0.09082678894444635
1227419200,0.1183431952662721,,0.9167299426413883,0.9648097495618797,0.04807980692049141,0.9060323842874903,0.9180297217692138,0.011997337481723491
